country,club,city,year,trainer,points
Германия,Бавария,Мюнхен,2002,Венсан Компани,85
Англия,Челси,Лондон,2012,Энцо Мареска,19
Германия,Лейпциг,Лейпциг,2024,Жолт Лев,58
Италия,Ювентус,Турин,2001,Игор Тудор,28
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,91
Англия,Челси,Лондон,2019,Энцо Мареска,45
Германия,Боруссия,Дортмунд,2005,Нико Ковач,86
Германия,Лейпциг,Лейпциг,2005,Жолт Лев,43
Россия,ЦСКА,Москва,2002,Марко Николич,23
Испания,Реал Мадрид,Мадрид,2010,Карло Анчелотти,88
Испания,Атлетико,Мадрид,2011,Диего Симеоне,87
Англия,Манчестер Сити,Манчестер,2019,Пеп Гвардиола,10
Англия,Челси,Лондон,2020,Энцо Мареска,32
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,15
Италия,Милан,Милан,2011,Сержиу Консейсан,53
Россия,Зенит,Санкт-Петербург,2021,Семак Сергей Богданович,53
Россия,Зенит,Санкт-Петербург,2014,Семак Сергей Богданович,100
Россия,ЦСКА,Москва,2004,Марко Николич,5
Италия,Милан,Милан,2008,Сержиу Консейсан,52
Россия,Спартак,Москва,2007,Деян Станкович,83
Англия,Манчестер Сити,Манчестер,2014,Пеп Гвардиола,81
Испания,Барселона,Барселона,2010,Ханс‑Дитер Флик,66
Англия,Арсенал,Лондон,2009,Микель Артета,2
Испания,Реал Мадрид,Мадрид,2023,Карло Анчелотти,85
Германия,Лейпциг,Лейпциг,2007,Жолт Лев,91
Англия,Челси,Лондон,2005,Энцо Мареска,24
Германия,Боруссия,Дортмунд,2023,Нико Ковач,63
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,76
Германия,Лейпциг,Лейпциг,2025,Жолт Лев,10
Испания,Барселона,Барселона,2008,Ханс‑Дитер Флик,31
Германия,Боруссия,Дортмунд,2006,Нико Ковач,25
Италия,Интер,Милан,2018, Симоне Индзаги,39
Англия,Манчестер Сити,Манчестер,2017,Пеп Гвардиола,21
Англия,Арсенал,Лондон,2004,Микель Артета,10
Испания,Реал Мадрид,Мадрид,2014,Карло Анчелотти,72
Россия,Зенит,Санкт-Петербург,2002,Семак Сергей Богданович,55
Испания,Реал Мадрид,Мадрид,2016,Карло Анчелотти,23
Россия,ЦСКА,Москва,2024,Марко Николич,22
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,90
Россия,Зенит,Санкт-Петербург,2011,Семак Сергей Богданович,55
Англия,Манчестер Сити,Манчестер,2014,Пеп Гвардиола,43
Германия,Бавария,Мюнхен,2005,Венсан Компани,70
Италия,Ювентус,Турин,2008,Игор Тудор,41
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,8
Россия,Спартак,Москва,2018,Деян Станкович,2
Англия,Манчестер Сити,Манчестер,2012,Пеп Гвардиола,78
Испания,Барселона,Барселона,2023,Ханс‑Дитер Флик,3
Англия,Арсенал,Лондон,2011,Микель Артета,35
Италия,Ювентус,Турин,2003,Игор Тудор,81
Англия,Манчестер Сити,Манчестер,2006,Пеп Гвардиола,25
Германия,Боруссия,Дортмунд,2005,Нико Ковач,100
Россия,ЦСКА,Москва,2002,Марко Николич,85
Россия,ЦСКА,Москва,2025,Марко Николич,55
Италия,Интер,Милан,2006, Симоне Индзаги,38
Германия,Боруссия,Дортмунд,2013,Нико Ковач,45
Англия,Челси,Лондон,2001,Энцо Мареска,86
Италия,Ювентус,Турин,2003,Игор Тудор,5
Англия,Манчестер Сити,Манчестер,2019,Пеп Гвардиола,0
Италия,Милан,Милан,2011,Сержиу Консейсан,69
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,24
Испания,Барселона,Барселона,2005,Ханс‑Дитер Флик,94
Англия,Арсенал,Лондон,2009,Микель Артета,30
Италия,Милан,Милан,2014,Сержиу Консейсан,20
